technique_id,platform_id
T1055.011,10
T1053.005,10
T1205.002,5
T1205.002,11
T1205.002,10
T1560.001,5
T1560.001,11
T1560.001,10
T1021.005,5
T1021.005,10
T1021.005,11
T1047,10
T1687,3
T1687,5
T1687,11
T1687,9
T1687,10
T1113,5
T1113,11
T1113,10
T1027.011,5
T1027.011,10
T1037,2
T1037,5
T1037,11
T1037,6
T1037,10
T1557,5
T1557,11
T1557,6
T1557,10
T1033,5
T1033,11
T1033,6
T1033,10
T1583,8
T1218.011,10
T1613,1
T1583.007,8
T1132.001,2
T1132.001,5
T1132.001,11
T1132.001,10
T1027.009,5
T1027.009,11
T1027.009,10
T1556.003,5
T1556.003,11
T1578.004,3
T1592,8
T1596.003,8
T1056.001,5
T1056.001,11
T1056.001,6
T1056.001,10
T1564.012,5
T1564.012,11
T1564.012,10
T1222.002,5
T1222.002,11
T1110.001,1
T1110.001,2
T1110.001,3
T1110.001,4
T1110.001,5
T1110.001,11
T1110.001,6
T1110.001,7
T1110.001,9
T1110.001,10
T1216.001,10
T1597.002,8
T1003,5
T1003,11
T1003,10
T1129,5
T1129,11
T1129,10
T1602,6
T1561.002,5
T1561.002,11
T1561.002,6
T1561.002,10
T1498.001,10
T1498.001,3
T1498.001,5
T1498.001,11
T1574.007,5
T1574.007,11
T1574.007,10
T1213.002,7
T1213.002,10
T1006,6
T1006,10
T1588.007,8
T1666,3
T1564.008,10
T1564.008,5
T1564.008,11
T1564.008,7
T1491.002,10
T1491.002,3
T1491.002,5
T1491.002,11
T1027.013,5
T1027.013,11
T1027.013,10
T1590.005,8
T1499.001,5
T1499.001,11
T1499.001,10
T1014,5
T1014,11
T1014,10
T1546.013,10
T1059.007,5
T1059.007,11
T1059.007,10
T1685.003,5
T1685.003,11
T1685.003,10
T1590.002,8
T1485.001,3
T1123,5
T1123,11
T1123,10
T1543,1
T1543,5
T1543,11
T1543,10
T1133,1
T1133,5
T1133,11
T1133,10
T1546.006,11
T1539,5
T1539,11
T1539,7
T1539,9
T1539,10
T1053.007,1
T1568.002,2
T1568.002,5
T1568.002,11
T1568.002,10
T1036.007,10
T1548.002,10
T1496.003,9
T1016.001,10
T1016.001,5
T1016.001,11
T1016.001,2
T1548.003,5
T1548.003,11
T1685.001,10
T1682,8
T1560.003,5
T1560.003,11
T1560.003,10
T1578,3
T1584.008,8
T1583.008,8
T1069,1
T1069,3
T1069,4
T1069,5
T1069,11
T1069,7
T1069,9
T1069,10
T1114,10
T1114,11
T1114,5
T1114,7
T1003.002,10
T1596.002,8
T1542.001,6
T1542.001,10
T1594,8
T1069.003,9
T1069.003,3
T1069.003,7
T1069.003,4
T1574.011,10
T1596.001,8
T1499.003,10
T1499.003,3
T1499.003,5
T1499.003,11
T1195.001,5
T1195.001,11
T1195.001,10
T1588.004,8
T1583.002,8
T1561,5
T1561,11
T1561,10
T1561,6
T1071.004,2
T1071.004,5
T1071.004,11
T1071.004,6
T1071.004,10
T1552.005,3
T1555.002,5
T1555.002,11
T1615,10
T1542.003,5
T1542.003,10
T1025,5
T1025,11
T1025,10
T1218.013,10
T1074.001,2
T1074.001,5
T1074.001,11
T1074.001,10
T1036.005,1
T1036.005,2
T1036.005,5
T1036.005,11
T1036.005,10
T1587.003,8
T1565.001,5
T1565.001,11
T1565.001,10
T1110.002,4
T1110.002,5
T1110.002,11
T1110.002,6
T1110.002,7
T1110.002,10
T1114.001,10
T1555.001,11
T1547,5
T1547,11
T1547,10
T1547,6
T1003.004,10
T1600,6
T1606.002,9
T1606.002,10
T1606.002,3
T1606.002,7
T1606.002,4
T1036.008,5
T1036.008,11
T1036.008,10
T1489,2
T1489,3
T1489,5
T1489,11
T1489,10
T1587.001,8
T1652,5
T1652,11
T1652,10
T1087.002,5
T1087.002,11
T1087.002,10
T1547.014,10
T1564,2
T1564,5
T1564,11
T1564,7
T1564,10
T1559.002,10
T1204.002,5
T1204.002,11
T1204.002,10
T1591.003,8
T1685.004,5
T1071.005,11
T1071.005,5
T1071.005,10
T1071.005,6
T1592.001,8
T1080,10
T1080,9
T1080,5
T1080,11
T1080,7
T1484.002,4
T1484.002,10
T1213.006,3
T1213.006,5
T1213.006,11
T1213.006,9
T1213.006,10
T1573.001,2
T1573.001,5
T1573.001,11
T1573.001,6
T1573.001,10
T1087.001,2
T1087.001,5
T1087.001,11
T1087.001,10
T1586.001,8
T1176.001,5
T1176.001,10
T1176.001,11
T1542.005,6
T1686.003,10
T1543.003,10
T1568.001,5
T1568.001,11
T1568.001,10
T1568.001,2
T1497.001,5
T1497.001,11
T1497.001,10
T1053.003,5
T1053.003,11
T1053.003,2
T1069.002,5
T1069.002,11
T1069.002,10
T1588.006,8
T1566.002,4
T1566.002,5
T1566.002,11
T1566.002,7
T1566.002,9
T1566.002,10
T1499.004,10
T1499.004,3
T1499.004,5
T1499.004,11
T1137,10
T1137,7
T1218.004,10
T1598.003,8
T1021.004,2
T1021.004,5
T1021.004,11
T1098.003,3
T1098.003,4
T1098.003,7
T1098.003,9
T1547.012,10
T1566.001,5
T1566.001,11
T1566.001,10
T1027.008,5
T1027.008,11
T1027.008,6
T1027.008,10
T1559.001,10
T1574.001,10
T1119,3
T1119,5
T1119,11
T1119,7
T1119,9
T1119,10
T1689,11
T1689,10
T1689,5
T1115,5
T1115,11
T1115,10
T1003.007,5
T1583.005,8
T1555.005,5
T1555.005,11
T1555.005,10
T1553.001,11
T1675,2
T1608.004,8
T1007,5
T1007,11
T1007,10
T1040,3
T1040,5
T1040,11
T1040,6
T1040,10
T1553.002,11
T1553.002,10
T1530,3
T1530,7
T1530,9
T1565.003,5
T1565.003,11
T1565.003,10
T1552.002,10
T1135,5
T1135,11
T1135,10
T1120,5
T1120,11
T1120,10
T1036.009,5
T1036.009,11
T1590.004,8
T1587.002,8
T1222.001,10
T1137.006,10
T1137.006,7
T1685.002,3
T1685.002,9
T1685.002,4
T1685.002,7
T1505.002,5
T1505.002,10
T1082,2
T1082,3
T1082,5
T1082,11
T1082,6
T1082,10
T1071,5
T1071,11
T1071,10
T1071,6
T1071,2
T1574.014,10
T1074.002,2
T1074.002,3
T1074.002,5
T1074.002,11
T1074.002,10
T1098.006,1
T1053,1
T1053,2
T1053,5
T1053,11
T1053,6
T1053,10
T1218.007,10
T1590.003,8
T1498.002,10
T1498.002,3
T1498.002,5
T1498.002,11
T1556.002,10
T1505.005,10
T1059.002,11
T1176,5
T1176,11
T1176,10
T1499.002,10
T1499.002,3
T1499.002,5
T1499.002,11
T1195.003,5
T1195.003,11
T1195.003,10
T1106,5
T1106,11
T1106,10
T1558.005,5
T1558.005,11
T1070.007,5
T1070.007,11
T1070.007,10
T1070.007,6
T1558.004,10
T1584.003,8
T1059.010,10
T1600.001,6
T1070.003,2
T1070.003,5
T1070.003,11
T1070.003,6
T1070.003,10
T1202,10
T1091,10
T1005,2
T1005,5
T1005,11
T1005,6
T1005,10
T1140,2
T1140,5
T1140,11
T1140,10
T1137.005,10
T1137.005,7
T1586.003,8
T1586.002,8
T1098.007,10
T1098.007,11
T1098.007,5
T1608.001,8
T1195,5
T1195,10
T1195,11
T1195,9
T1190,1
T1190,2
T1190,3
T1190,5
T1190,11
T1190,6
T1190,10
T1558,5
T1558,11
T1558,10
T1555,3
T1555,5
T1555,11
T1555,10
T1567,2
T1567,5
T1567,11
T1567,7
T1567,9
T1567,10
T1219,5
T1219,11
T1219,10
T1583.001,8
T1560.002,5
T1560.002,11
T1560.002,10
T1055.003,10
T1684,5
T1684,11
T1684,7
T1684,9
T1684,10
T1036,1
T1036,2
T1036,5
T1036,11
T1036,10
T1546.011,10
T1552,10
T1552,9
T1552,3
T1552,5
T1552,11
T1552,1
T1552,6
T1552,7
T1552,4
T1547.010,10
T1070.008,5
T1070.008,11
T1070.008,7
T1070.008,10
T1037.002,11
T1659,5
T1659,11
T1659,10
T1055,5
T1055,11
T1055,10
T1567.004,2
T1567.004,5
T1567.004,11
T1567.004,7
T1567.004,9
T1567.004,10
T1205,5
T1205,11
T1205,6
T1205,10
T1021.008,3
T1218,5
T1218,11
T1218,10
T1070.006,2
T1070.006,5
T1070.006,11
T1070.006,10
T1557.004,6
T1620,5
T1620,11
T1620,10
T1016.002,5
T1016.002,10
T1016.002,11
T1480.002,5
T1480.002,11
T1480.002,10
T1564.011,5
T1564.011,11
T1564.011,10
T1611,10
T1611,5
T1611,1
T1611,2
T1518.002,10
T1518.002,11
T1518.002,5
T1547.009,10
T1010,5
T1010,11
T1010,10
T1569.003,5
T1087.003,10
T1087.003,7
T1497.003,5
T1497.003,11
T1497.003,10
T1218.003,10
T1563.001,5
T1563.001,11
T1029,5
T1029,11
T1029,10
T1021.002,10
T1525,3
T1525,1
T1572,2
