technique_id,tactic_id
T1055.011,15
T1055.011,12
T1053.005,6
T1053.005,11
T1053.005,12
T1205.002,15
T1205.002,11
T1205.002,2
T1560.001,1
T1021.005,10
T1047,6
T1687,4
T1113,1
T1027.011,15
T1037,11
T1037,12
T1557,3
T1557,1
T1033,5
T1583,14
T1218.011,15
T1613,5
T1583.007,14
T1132.001,2
T1027.009,15
T1556.003,4
T1556.003,11
T1556.003,3
T1578.004,4
T1592,13
T1596.003,13
T1056.001,1
T1056.001,3
T1564.012,15
T1222.002,4
T1110.001,3
T1216.001,15
T1597.002,13
T1003,3
T1129,6
T1602,1
T1561.002,8
T1498.001,8
T1574.007,15
T1574.007,6
T1213.002,1
T1006,15
T1588.007,14
T1666,4
T1564.008,15
T1491.002,8
T1027.013,15
T1590.005,13
T1499.001,8
T1014,15
T1546.013,12
T1546.013,11
T1059.007,6
T1685.003,4
T1590.002,13
T1485.001,8
T1123,1
T1543,11
T1543,12
T1133,11
T1133,9
T1546.006,12
T1546.006,11
T1539,3
T1053.007,6
T1053.007,11
T1053.007,12
T1568.002,2
T1036.007,15
T1548.002,12
T1496.003,8
T1016.001,5
T1548.003,12
T1685.001,4
T1682,13
T1560.003,1
T1578,4
T1584.008,14
T1583.008,14
T1069,5
T1114,1
T1003.002,3
T1596.002,13
T1542.001,15
T1542.001,11
T1594,13
T1069.003,5
T1574.011,15
T1574.011,6
T1596.001,13
T1499.003,8
T1195.001,9
T1588.004,14
T1583.002,14
T1561,8
T1071.004,2
T1552.005,3
T1555.002,3
T1615,5
T1542.003,15
T1542.003,11
T1025,1
T1218.013,15
T1074.001,1
T1036.005,15
T1587.003,14
T1565.001,8
T1110.002,3
T1114.001,1
T1555.001,3
T1547,11
T1547,12
T1003.004,3
T1600,4
T1606.002,3
T1036.008,15
T1489,8
T1587.001,14
T1652,5
T1087.002,5
T1547.014,11
T1547.014,12
T1564,15
T1559.002,6
T1204.002,6
T1591.003,13
T1685.004,4
T1071.005,2
T1592.001,13
T1080,10
T1484.002,4
T1484.002,12
T1213.006,1
T1573.001,2
T1087.001,5
T1586.001,14
T1176.001,11
T1542.005,15
T1542.005,11
T1686.003,4
T1543.003,11
T1543.003,12
T1568.001,2
T1497.001,15
T1497.001,5
T1053.003,6
T1053.003,11
T1053.003,12
T1069.002,5
T1588.006,14
T1566.002,9
T1499.004,8
T1137,11
T1218.004,15
T1598.003,13
T1021.004,10
T1098.003,11
T1098.003,12
T1547.012,11
T1547.012,12
T1566.001,9
T1027.008,15
T1559.001,6
T1574.001,15
T1574.001,6
T1119,1
T1689,4
T1115,1
T1003.007,3
T1583.005,14
T1555.005,3
T1553.001,4
T1675,6
T1608.004,14
T1007,5
T1040,3
T1040,5
T1553.002,4
T1530,1
T1565.003,8
T1552.002,3
T1135,5
T1120,5
T1036.009,15
T1590.004,13
T1587.002,14
T1222.001,4
T1137.006,11
T1685.002,4
T1505.002,11
T1082,5
T1071,2
T1574.014,15
T1574.014,6
T1074.002,1
T1098.006,11
T1098.006,12
T1053,6
T1053,11
T1053,12
T1218.007,15
T1590.003,13
T1498.002,8
T1556.002,4
T1556.002,11
T1556.002,3
T1505.005,11
T1059.002,6
T1176,11
T1499.002,8
T1195.003,9
T1106,6
T1558.005,3
T1070.007,15
T1558.004,3
T1584.003,14
T1059.010,6
T1600.001,4
T1070.003,15
T1202,15
T1091,10
T1091,9
