technique_id,technique_name,platform
T1055.011,Extra Window Memory Injection,Windows
T1053.005,Scheduled Task,Windows
T1205.002,Socket Filters,Linux
T1205.002,Socket Filters,macOS
T1205.002,Socket Filters,Windows
T1560.001,Archive via Utility,Linux
T1560.001,Archive via Utility,macOS
T1560.001,Archive via Utility,Windows
T1021.005,VNC,Linux
T1021.005,VNC,Windows
T1021.005,VNC,macOS
T1047,Windows Management Instrumentation,Windows
T1687,Exploitation for Defense Impairment,IaaS
T1687,Exploitation for Defense Impairment,Linux
T1687,Exploitation for Defense Impairment,macOS
T1687,Exploitation for Defense Impairment,SaaS
T1687,Exploitation for Defense Impairment,Windows
T1113,Screen Capture,Linux
T1113,Screen Capture,macOS
T1113,Screen Capture,Windows
T1027.011,Fileless Storage,Linux
T1027.011,Fileless Storage,Windows
T1037,Boot or Logon Initialization Scripts,ESXi
T1037,Boot or Logon Initialization Scripts,Linux
T1037,Boot or Logon Initialization Scripts,macOS
T1037,Boot or Logon Initialization Scripts,Network Devices
T1037,Boot or Logon Initialization Scripts,Windows
T1557,Adversary-in-the-Middle,Linux
T1557,Adversary-in-the-Middle,macOS
T1557,Adversary-in-the-Middle,Network Devices
T1557,Adversary-in-the-Middle,Windows
T1033,System Owner/User Discovery,Linux
T1033,System Owner/User Discovery,macOS
T1033,System Owner/User Discovery,Network Devices
T1033,System Owner/User Discovery,Windows
T1583,Acquire Infrastructure,PRE
T1218.011,Rundll32,Windows
T1613,Container and Resource Discovery,Containers
T1583.007,Serverless,PRE
T1132.001,Standard Encoding,ESXi
T1132.001,Standard Encoding,Linux
T1132.001,Standard Encoding,macOS
T1132.001,Standard Encoding,Windows
T1027.009,Embedded Payloads,Linux
T1027.009,Embedded Payloads,macOS
T1027.009,Embedded Payloads,Windows
T1556.003,Pluggable Authentication Modules,Linux
T1556.003,Pluggable Authentication Modules,macOS
T1578.004,Revert Cloud Instance,IaaS
T1592,Gather Victim Host Information,PRE
T1596.003,Digital Certificates,PRE
T1056.001,Keylogging,Linux
T1056.001,Keylogging,macOS
T1056.001,Keylogging,Network Devices
T1056.001,Keylogging,Windows
T1564.012,File/Path Exclusions,Linux
T1564.012,File/Path Exclusions,macOS
T1564.012,File/Path Exclusions,Windows
T1222.002,Linux and Mac Permissions,Linux
T1222.002,Linux and Mac Permissions,macOS
T1110.001,Password Guessing,Containers
T1110.001,Password Guessing,ESXi
T1110.001,Password Guessing,IaaS
T1110.001,Password Guessing,Identity Provider
T1110.001,Password Guessing,Linux
T1110.001,Password Guessing,macOS
T1110.001,Password Guessing,Network Devices
T1110.001,Password Guessing,Office Suite
T1110.001,Password Guessing,SaaS
T1110.001,Password Guessing,Windows
T1216.001,PubPrn,Windows
T1597.002,Purchase Technical Data,PRE
T1003,OS Credential Dumping,Linux
T1003,OS Credential Dumping,macOS
T1003,OS Credential Dumping,Windows
T1129,Shared Modules,Linux
T1129,Shared Modules,macOS
T1129,Shared Modules,Windows
T1602,Data from Configuration Repository,Network Devices
T1561.002,Disk Structure Wipe,Linux
T1561.002,Disk Structure Wipe,macOS
T1561.002,Disk Structure Wipe,Network Devices
T1561.002,Disk Structure Wipe,Windows
T1498.001,Direct Network Flood,Windows
T1498.001,Direct Network Flood,IaaS
T1498.001,Direct Network Flood,Linux
T1498.001,Direct Network Flood,macOS
T1574.007,Path Interception by PATH Environment Variable,Linux
T1574.007,Path Interception by PATH Environment Variable,macOS
T1574.007,Path Interception by PATH Environment Variable,Windows
T1213.002,Sharepoint,Office Suite
T1213.002,Sharepoint,Windows
T1006,Direct Volume Access,Network Devices
T1006,Direct Volume Access,Windows
T1588.007,Artificial Intelligence,PRE
T1666,Modify Cloud Resource Hierarchy,IaaS
T1564.008,Email Hiding Rules,Windows
T1564.008,Email Hiding Rules,Linux
T1564.008,Email Hiding Rules,macOS
T1564.008,Email Hiding Rules,Office Suite
T1491.002,External Defacement,Windows
T1491.002,External Defacement,IaaS
T1491.002,External Defacement,Linux
T1491.002,External Defacement,macOS
